Empresa,Salario,Classe,Sede,Tamanho,Fundação,Tipo,Setor,Moeda,Valor_moeda
Itaú Unibanco (Itaú BBA e Rede),8580,Pleno,"Rio de Janeiro, Brasil",25,,Franquia,Desconhecido/Não se aplica,R$,1
Itaú Unibanco (Itaú BBA e Rede),6874,Junior,"São Paulo, Brasil",125,2016.0,Empresa: privada,Empréstimos,R$,1
Banco Bradesco,5984,Junior,"Campinas, Brasil",25,,Empresa: privada,Publicidade e marketing,R$,1
Itaú Unibanco (Itaú BBA e Rede),11764,Senior,"Massy, França",10000,1958.0,Empresa: privada,Lojas de artigos gerais e grandes lojas,R$,1
Semantix,3773,Junior,"Brasília, Brasil",350,2017.0,Empresa: privada,Serviços de TI,R$,1
Nubank Brasil,15000,Senior,"New York, NY",10000,1923.0,Empresa: capital aberto (NLSN),Soluções de software e redes corporativas,R$,1
Atlantico,3966,Junior,"Blumenau, Brasil",2500,1990.0,Empresa: privada,Serviços de TI,R$,1
Itaú Unibanco (Itaú BBA e Rede),8176,Pleno,"Rio de Janeiro, Brasil",25,,Franquia,Desconhecido/Não se aplica,R$,1
Semantix,8921,Senior,"Campinas, Brasil",25,,Empresa: privada,Publicidade e marketing,R$,1
Big Data Brasil,3999,Junior,"São Paulo, Brasil",350,,Empresa: privada,Desconhecido/Não se aplica,R$,1
Semantix,5966,Pleno,"São Paulo, Brasil",125,2015.0,Empresa: privada,Soluções de software e redes corporativas,R$,1
Itaú Unibanco (Itaú BBA e Rede),7205,Junior,"Rio de Janeiro, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$,1
Itaú Unibanco (Itaú BBA e Rede),12127,Senior,"Rio de Janeiro, Brasil",125,2014.0,Empresa: privada,Soluções de software e redes corporativas,R$,1
Itaú Unibanco (Itaú BBA e Rede),7106,Junior,"Rio de Janeiro, Brasil",2500,,Faculdade/Universidade,Consultoria,R$,1
Grupo Globo,6261,Pleno,"Warrington, Reino Unido",750,,Empresa: capital aberto,Logística e cadeia de suprimentos,R$,1
banco BV,8324,Senior,"São Paulo, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$,1
PicPay,11984,Senior,"Dublin, Irlanda",10000,1989.0,Empresa: capital aberto (ACN),Consultoria,R$,1
Grupo Globo,10987,Senior,"Osasco, Brasil",10000,1943.0,Empresa: capital aberto (BBD),Bancos e cooperativas de crédito,R$,1
iFood,13148,Senior,"São Paulo, Brasil",10000,1903.0,Empresa: capital aberto (ITUB),Bancos e cooperativas de crédito,R$,1
Wildlife Studios,17533,Senior,"Dublin, Irlanda",10000,1989.0,Empresa: capital aberto (ACN),Consultoria,R$,1
Magazine Luiza,8743,Junior,"São Paulo, Brasil",350,2010.0,Empresa: privada,Soluções de software e redes corporativas,R$,1
Stefanini,5930,Pleno,"São Paulo, Brasil",350,,Empresa: privada,Desconhecido/Não se aplica,R$,1
Accenture,4946,Pleno,"Rio de Janeiro, Brasil",125,2014.0,Empresa: privada,Soluções de software e redes corporativas,R$,1
Big Data Brasil,11676,Senior,"Florianópolis, Brasil",2500,1990.0,Empresa: privada,Hardware e software,R$,1
Experian,24976,Senior,"São Paulo, Brasil",125,2013.0,Empresa: privada,Serviços de TI,R$,1
McKinsey & Company,13000,Senior,"São Paulo, Brasil",10000,1903.0,Empresa: capital aberto (ITUB),Bancos e cooperativas de crédito,R$,1
